Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10nF","SMD-0805",11.8745,32.0040,180.0000,bottom
"C2","100nF","SMD-0805",30.2260,33.8455,-90.0000,bottom
"C3","10uF","SMD-0805",30.2260,37.5285,90.0000,bottom
"C4","10nF","SMD-0805",25.4000,33.0200,0.0000,bottom
"C5","100nF","SMD-0805",18.8976,30.8356,-90.0000,bottom
"C6","10nF","SMD-0805",15.9639,29.2100,180.0000,bottom
"C7","10nF","SMD-0805",21.8440,29.2100,0.0000,bottom
"C8","10nF","SMD-0805",43.6880,29.2100,180.0000,bottom
"C9","10nF","SMD-0805",58.4200,30.7340,0.0000,bottom
"C10","10nF","SMD-0805",47.2440,28.9560,180.0000,bottom
"C11","10nF","SMD-0805",54.3560,31.1404,0.0000,bottom
"C12","100nF","SMD-0805",50.8000,30.4800,-90.0000,bottom
"D1","BZV55C","Diode-MiniMELF_Standard",26.9240,42.6720,90.0000,bottom
"D2","BAS85","MiniMELF_Standard",17.6784,25.5803,-90.0000,bottom
"D3","BAS85","MiniMELF_Standard",20.3200,25.6540,-90.0000,bottom
"D4","BAS85","MiniMELF_Standard",10.2108,25.5016,-90.0000,bottom
"D5","BAS85","MiniMELF_Standard",29.5656,25.6311,-90.0000,bottom
"D6","BAS85","MiniMELF_Standard",50.3936,25.5295,-90.0000,bottom
"D7","BAS85","MiniMELF_Standard",52.8320,25.6032,-90.0000,bottom
"D8","BAS85","MiniMELF_Standard",41.1480,24.6380,-90.0000,bottom
"D9","BAS85","MiniMELF_Standard",60.1980,25.6540,-90.0000,bottom
"L1","BLM21PG300SN1D","SMD-0805",27.9400,38.2905,-90.0000,bottom
"R1","249R","SMD-1206",17.2720,18.0340,0.0000,bottom
"R2","249R","SMD-1206",28.7020,18.0340,180.0000,bottom
"R3","180K","SMD-0805",15.5448,26.4160,-90.0000,bottom
"R4","180K","SMD-0805",13.0048,26.4160,-90.0000,bottom
"R5","180K","SMD-0805",22.8600,26.4160,-90.0000,bottom
"R6","180K","SMD-0805",25.4000,26.4160,-90.0000,bottom
"R7","33K","SMD-0805",11.8745,29.4640,0.0000,bottom
"R8","33K","SMD-0805",25.4000,30.4800,180.0000,bottom
"R9","33K","SMD-0805",15.9639,31.2420,0.0000,bottom
"R10","33K","SMD-0805",21.8440,31.4960,180.0000,bottom
"R11","249R","SMD-1206",43.1800,18.2880,0.0000,bottom
"R12","249R","SMD-1206",55.1180,18.0340,180.0000,bottom
"R13","180K","SMD-0805",48.2600,25.9080,-90.0000,bottom
"R14","180K","SMD-0805",45.7200,25.9080,-90.0000,bottom
"R15","180K","SMD-0805",55.1180,25.6540,-90.0000,bottom
"R16","180K","SMD-0805",57.4040,25.6540,-90.0000,bottom
"R17","33K","SMD-0805",43.6880,31.7500,0.0000,bottom
"R18","33K","SMD-0805",58.4200,33.0200,180.0000,bottom
"R19","33K","SMD-0805",47.2059,31.1912,0.0000,bottom
"R20","33K","SMD-0805",54.3560,29.2100,180.0000,bottom
"R21","10K","SMD-0805",53.8480,42.1640,90.0000,bottom
"R22","10K","SMD-0805",45.8724,42.2783,90.0000,bottom
"R23","10K","SMD-0805",34.0360,38.3540,180.0000,bottom
"R24","10K","SMD-0805",37.5920,38.3540,0.0000,bottom
"U1","TLC27L2ID","SOIC-8_3.9x4.9mm_Pitch1.27mm",18.5420,35.5600,0.0000,bottom
"U2","TLC27L2ID","SOIC-8_3.9x4.9mm_Pitch1.27mm",50.8000,35.0520,0.0000,bottom
"U3","MCP3424","SOIC-14",36.5760,32.0040,90.0000,bottom
