Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10nF","SMD-0805",1.4605,20.5740,180.0000,bottom
"C2","100nF","SMD-0805",19.8120,22.4155,-90.0000,bottom
"C3","10uF","SMD-0805",19.8120,26.0985,90.0000,bottom
"C4","10nF","SMD-0805",14.9860,21.5900,0.0000,bottom
"C5","100nF","SMD-0805",8.4836,19.4056,-90.0000,bottom
"C6","10nF","SMD-0805",5.5499,17.7800,180.0000,bottom
"C7","10nF","SMD-0805",11.4300,17.7800,0.0000,bottom
"C8","10nF","SMD-0805",33.2740,17.7800,180.0000,bottom
"C9","10nF","SMD-0805",48.0060,19.3040,0.0000,bottom
"C10","10nF","SMD-0805",36.8300,17.5260,180.0000,bottom
"C11","10nF","SMD-0805",43.9420,19.7104,0.0000,bottom
"C12","100nF","SMD-0805",40.3860,19.0500,-90.0000,bottom
"D1","BZV55C","Diode-MiniMELF_Standard",16.5100,31.2420,90.0000,bottom
"D2","BAS85","MiniMELF_Standard",7.2644,14.1503,-90.0000,bottom
"D3","BAS85","MiniMELF_Standard",9.9060,14.2240,-90.0000,bottom
"D4","BAS85","MiniMELF_Standard",-0.2032,14.0716,-90.0000,bottom
"D5","BAS85","MiniMELF_Standard",19.1516,14.2011,-90.0000,bottom
"D6","BAS85","MiniMELF_Standard",39.9796,14.0995,-90.0000,bottom
"D7","BAS85","MiniMELF_Standard",42.4180,14.1732,-90.0000,bottom
"D8","BAS85","MiniMELF_Standard",30.7340,13.2080,-90.0000,bottom
"D9","BAS85","MiniMELF_Standard",49.7840,14.2240,-90.0000,bottom
"J2","CONN_2","Straight_1x02",8.3820,10.1600,90.0000,top
"J3","JUMP_2x1","Straight_2x01",36.0680,0.0000,90.0000,top
"J4","CONN_2","Straight_1x02",14.9860,10.1600,-90.0000,top
"J5","JUMP_2x1","Straight_1x02",7.6200,0.0000,0.0000,top
"J6","CONN_2","Straight_1x02",37.3380,10.4140,90.0000,top
"J7","JUMP_2x1","Straight_1x02",12.7000,0.0000,0.0000,top
"J8","CONN_2","Straight_1x02",43.4340,10.4140,-90.0000,top
"J9","JUMP_2x1","Straight_1x02",10.1600,0.0000,0.0000,top
"J10","JUMP2_2x1","Straight_2x01",38.1000,30.7340,90.0000,top
"J11","JUMP2_2x1","Straight_2x01",40.6400,30.7340,90.0000,top
"J13","JUMP_5X2","Straight_2x05",25.9080,30.7340,90.0000,top
"J14","JUMP_2x1","Straight_1x02",22.8600,0.0000,0.0000,top
"J15","JUMP_2x1","Straight_1x02",17.7800,0.0000,0.0000,top
"J16","JUMP_2x1","Straight_1x02",20.3200,0.0000,0.0000,top
"J17","JUMP_2x1","Straight_1x02",15.2400,0.0000,0.0000,top
"J18","JUMP_2x1","Straight_1x02",33.5280,0.0000,0.0000,top
"J19","JUMP_2x1","Straight_1x02",30.9880,0.0000,0.0000,top
"J20","JUMP_2x1","Straight_1x02",43.6880,0.0000,0.0000,top
"J21","JUMP_2x1","Straight_1x02",38.6080,0.0000,0.0000,top
"J22","JUMP_2x1","Straight_1x02",41.1480,0.0000,0.0000,top
"J23","JUMP_2x1","Straight_1x02",28.4480,0.0000,0.0000,top
"L1","BLM21PG300SN1D","SMD-0805",17.5260,26.8605,-90.0000,bottom
"M1","HOLE","MountingHole_3mm",50.8000,30.4800,0.0000,top
"M2","HOLE","MountingHole_3mm",0.0000,0.0000,0.0000,top
"M3","HOLE","MountingHole_3mm",50.8000,0.0000,0.0000,top
"M4","HOLE","MountingHole_3mm",0.0000,30.4800,0.0000,top
"R1","249R","SMD-1206",6.8580,6.6040,0.0000,bottom
"R2","249R","SMD-1206",18.2880,6.6040,180.0000,bottom
"R3","180K","SMD-0805",5.1308,14.9860,-90.0000,bottom
"R4","180K","SMD-0805",2.5908,14.9860,-90.0000,bottom
"R5","180K","SMD-0805",12.4460,14.9860,-90.0000,bottom
"R6","180K","SMD-0805",14.9860,14.9860,-90.0000,bottom
"R7","33K","SMD-0805",1.4605,18.0340,0.0000,bottom
"R8","33K","SMD-0805",14.9860,19.0500,180.0000,bottom
"R9","33K","SMD-0805",5.5499,19.8120,0.0000,bottom
"R10","33K","SMD-0805",11.4300,20.0660,180.0000,bottom
"R11","249R","SMD-1206",32.7660,6.8580,0.0000,bottom
"R12","249R","SMD-1206",44.7040,6.6040,180.0000,bottom
"R13","180K","SMD-0805",37.8460,14.4780,-90.0000,bottom
"R14","180K","SMD-0805",35.3060,14.4780,-90.0000,bottom
"R15","180K","SMD-0805",44.7040,14.2240,-90.0000,bottom
"R16","180K","SMD-0805",46.9900,14.2240,-90.0000,bottom
"R17","33K","SMD-0805",33.2740,20.3200,0.0000,bottom
"R18","33K","SMD-0805",48.0060,21.5900,180.0000,bottom
"R19","33K","SMD-0805",36.7919,19.7612,0.0000,bottom
"R20","33K","SMD-0805",43.9420,17.7800,180.0000,bottom
"R21","10K","SMD-0805",43.4340,30.7340,90.0000,bottom
"R22","10K","SMD-0805",35.4584,30.8483,90.0000,bottom
"R23","10K","SMD-0805",23.6220,26.9240,180.0000,bottom
"R24","10K","SMD-0805",27.1780,26.9240,0.0000,bottom
"U1","TLC27L2ID","SOIC-8_3.9x4.9mm_Pitch1.27mm",8.1280,24.1300,0.0000,bottom
"U2","TLC27L2ID","SOIC-8_3.9x4.9mm_Pitch1.27mm",40.3860,23.6220,0.0000,bottom
"U3","MCP3424","SOIC-14",26.1620,20.5740,90.0000,bottom
