Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J2","CONN_2","Straight_1x02",8.3820,10.1600,90.0000,top
"J3","JUMP_2x1","Straight_2x01",36.0680,0.0000,90.0000,top
"J4","CONN_2","Straight_1x02",14.9860,10.1600,-90.0000,top
"J5","JUMP_2x1","Straight_1x02",7.6200,0.0000,0.0000,top
"J6","CONN_2","Straight_1x02",37.3380,10.4140,90.0000,top
"J7","JUMP_2x1","Straight_1x02",12.7000,0.0000,0.0000,top
"J8","CONN_2","Straight_1x02",43.4340,10.4140,-90.0000,top
"J9","JUMP_2x1","Straight_1x02",10.1600,0.0000,0.0000,top
"J10","JUMP2_2x1","Straight_2x01",38.1000,30.7340,90.0000,top
"J11","JUMP2_2x1","Straight_2x01",40.6400,30.7340,90.0000,top
"J13","JUMP_5X2","Straight_2x05",25.9080,30.7340,90.0000,top
"J14","JUMP_2x1","Straight_1x02",22.8600,0.0000,0.0000,top
"J15","JUMP_2x1","Straight_1x02",17.7800,0.0000,0.0000,top
"J16","JUMP_2x1","Straight_1x02",20.3200,0.0000,0.0000,top
"J17","JUMP_2x1","Straight_1x02",15.2400,0.0000,0.0000,top
"J18","JUMP_2x1","Straight_1x02",33.5280,0.0000,0.0000,top
"J19","JUMP_2x1","Straight_1x02",30.9880,0.0000,0.0000,top
"J20","JUMP_2x1","Straight_1x02",43.6880,0.0000,0.0000,top
"J21","JUMP_2x1","Straight_1x02",38.6080,0.0000,0.0000,top
"J22","JUMP_2x1","Straight_1x02",41.1480,0.0000,0.0000,top
"J23","JUMP_2x1","Straight_1x02",28.4480,0.0000,0.0000,top
"M1","HOLE","MountingHole_3mm",50.8000,30.4800,0.0000,top
"M2","HOLE","MountingHole_3mm",0.0000,0.0000,0.0000,top
"M3","HOLE","MountingHole_3mm",50.8000,0.0000,0.0000,top
"M4","HOLE","MountingHole_3mm",0.0000,30.4800,0.0000,top
